=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.09 15:50:23 =~=~=~=~=~=~=~=~=~=~=~=
Choisissez la methode :
1 - Chronoamperometrie
2 - Voltammetrie cyclique
Methode selectionnee : Voltammetrie cyclique
Entrez E1 (en Volts) :
Entrez E2 (en Volts) :
Entrez la vitesse de balayage (en V/s) :
Entrez le nombre de cycles :
Parametres enregistres.
E1 = -1.00 V, E2 = 1.00 V, Vitesse = 0.10 V/s
Cycles = 3.00
Entrez le facteur d'affichage (valeur par défaut = 1, valeur utilisée pour les mesures = 4) :
Facteur d'affichage choisi : 4
Entrez 'ok' pour commencer l'expérience.
Debut
Temps (s);tension (mV);courant (uA)
29.4819;-49.85;102.11
29.5601;-42.03;101.33
29.6383;-34.21;102.89
29.7165;-26.39;105.23
29.7947;-18.57;111.08
29.8729;-10.75;108.74
29.9511;-2.93;109.91
30.0293;4.89;114.20
30.1075;12.71;111.08
30.1857;20.53;114.59
30.2639;28.35;114.98
30.3421;36.17;111.47
30.4203;43.99;111.08
30.4985;51.81;108.35
30.5767;59.63;110.69
30.6549;67.45;111.08
30.7331;75.27;105.62
30.8113;83.09;102.89
30.8895;90.91;104.84
30.9677;98.73;103.28
31.0459;106.55;101.72
31.1241;114.37;100.16
31.2023;122.19;97.82
31.2805;130.01;95.09
31.3587;137.83;91.19
31.4369;145.65;90.41
31.5151;153.48;88.07
31.5933;161.30;86.12
31.6715;169.12;85.73
31.7497;176.94;83.78
31.8279;184.76;83.39
31.9061;192.58;81.44
31.9843;200.40;80.66
32.0625;208.22;82.61
32.1407;216.04;78.32
32.2189;223.86;77.54
32.2971;231.68;79.49
32.3753;239.50;80.27
32.4535;247.32;75.98
32.5317;255.14;74.81
32.6099;262.96;73.25
32.6881;270.78;73.25
32.7663;278.60;71.30
32.8445;286.42;70.52
32.9227;294.24;74.03
33.0009;302.06;72.86
33.0792;309.88;70.91
33.1574;317.70;72.47
33.2356;325.52;72.47
33.3138;333.34;72.47
33.3920;341.16;71.69
33.4702;348.98;72.08
33.5484;356.80;71.30
33.6266;364.62;70.13
33.7048;372.44;66.62
33.7830;380.26;67.01
33.8612;388.08;66.23
33.9394;395.90;69.35
34.0176;403.72;69.35
34.0958;411.54;69.35
34.1740;419.36;68.57
34.2522;427.18;68.96
34.3304;435.00;69.35
34.4086;442.82;69.74
34.4868;450.64;67.79
34.5650;458.46;67.79
34.6432;466.28;68.96
34.7214;474.10;68.96
34.7996;481.92;68.96
34.8778;489.74;68.18
34.9560;497.56;68.96
35.0342;505.38;68.57
35.1124;513.20;68.96
35.1906;521.02;68.96
35.2688;528.84;69.35
35.3470;536.66;65.45
35.4252;544.48;68.18
35.5034;552.30;69.35
35.5816;560.12;69.74
35.6598;567.94;69.35
35.7380;575.76;70.13
35.8162;583.58;69.74
35.8944;591.40;66.62
35.9726;599.22;69.74
36.0508;607.04;70.52
36.1290;614.86;70.91
36.2072;622.68;70.52
